skill_name,jobs_count,total_views,avg_views,total_applies,avg_applies
Strategy/Planning,1158,33929,29.29965457685665,3928,3.3920552677029363
Writing/Editing,1426,40082,28.107994389901823,5694,3.9929873772791025
Product Management,1313,36189,27.56207159177456,5336,4.063975628332064
Administrative,4787,124021,25.907875496135368,13839,2.8909546688949237
Human Resources,2608,67175,25.75728527607362,10952,4.199386503067485
Analyst,3775,95717,25.35549668874172,19243,5.097483443708609
Marketing,5400,136215,25.225,19878,3.681111111111111
Advertising,652,15756,24.165644171779142,2395,3.673312883435583
Art/Creative,1637,38913,23.770922419059254,5211,3.183262064752596
Public Relations,1258,29421,23.387122416534183,3779,3.003974562798092
Design,2207,48471,21.96239238785682,6854,3.105573176257363
Science,782,16954,21.680306905370845,2278,2.9130434782608696
Project Management,3825,80840,21.134640522875817,12105,3.164705882352941
Consulting,2241,47335,21.12226684515841,7532,3.3609995537706383
Information Technology,25256,512200,20.28032942667089,104485,4.137036743744061
General Business,1929,36994,19.17781233799896,4093,2.12182477967859
Engineering,12530,230926,18.429848363926578,45799,3.655147645650439
Research,2928,52546,17.94603825136612,7477,2.553620218579235
Purchasing,599,10692,17.84974958263773,1036,1.7295492487479132
Supply Chain,1167,18871,16.170522707797772,2818,2.4147386461011138
Quality Assurance,1752,27018,15.42123287671233,4072,2.324200913242009
Finance,8011,113421,14.158157533391586,12419,1.550243415303957
Distribution,409,5547,13.56234718826406,643,1.5721271393643033
Customer Service,4167,56502,13.55939524838013,7862,1.886729061675066
Accounting/Auditing,4999,64872,12.976995399079817,7998,1.5999199839967995
Business Development,13304,170034,12.780667468430547,16494,1.239777510523151
Legal,2229,28016,12.568864961866307,2767,1.2413638402871243
Sales,21193,256953,12.124427877129241,25921,1.2230925305525409
Production,753,7899,10.49003984063745,991,1.3160690571049136
Other,12314,129123,10.48586974175735,13149,1.067808997888582
Education,2217,21227,9.574650428506992,1799,0.8114569237708615
Training,2164,20459,9.454251386321626,1629,0.7527726432532348
Management,20385,189993,9.320235467255335,12847,0.6302182977679667
Manufacturing,17728,142760,8.052797833935019,8361,0.4716268050541516
Health Care Provider,16675,87454,5.2446176911544224,2712,0.16263868065967016
