skill_name,jobs_count,avg_salary,median_salary
Information Technology,3882,154655.7197,145000
Engineering,2279,157912.1397,147487.5
Sales,1659,162514.6036,148500
Health Care Provider,1328,160221.8236,135101.2
Finance,1134,155821.8815,140529
Management,1083,152666.7261,140000
Business Development,1046,165107.8384,148929.75
Project Management,819,147546.2524,137500
Accounting/Auditing,776,151426.8414,137500
Manufacturing,689,143700.7361,132060
Other,686,155478.4725,142849.25
Marketing,636,165701.695,150000
Legal,538,182620.7068,161875
Analyst,504,148102.014,137010.4
Consulting,438,162558.8356,150000
Research,386,169447.4913,152070.8
Product Management,346,172562.5094,162570
Human Resources,312,151658.9063,139726
Design,305,150614.4124,140000
Strategy/Planning,278,168115.027,153550
