location,jobs_count,avg_salary,median_salary
"San Mateo, CA",33,199604.6272727273,180366.0
"Foster City, CA",44,178323.0340909091,159937.5
"Ridgefield, CT",11,163976.36363636365,161200.0
"Mountain View, CA",58,163085.10517241378,162200.0
"Rahway, NJ",29,158827.97241379312,143350.0
San Francisco Bay Area,147,155311.02275510202,142500.0
"Sunnyvale, CA",98,153621.94591836733,154500.0
"Los Gatos, CA",16,149047.875,72800.0
"San Fernando, CA",10,147193.12,128267.6
"Palo Alto, CA",67,146503.19417910447,137717.5
"Stockton, CA",24,146209.97458333333,115412.5
"Santa Clara, CA",89,145271.91348314608,132500.0
"San Jose, CA",230,144306.0891304348,140000.0
"Menlo Park, CA",38,142121.26315789475,123250.0
"Reston, VA",46,142026.80869565217,138765.0
"New York, United States",264,140752.50606060607,124800.0
"San Francisco, CA",399,139402.95456140352,132500.0
"Skillman, NJ",19,138200.52631578947,154250.0
"Pennsylvania, United States",40,134963.0,109600.0
"San Francisco County, CA",16,134402.65,158000.0
