skill_name,jobs_count,avg_salary,median_salary
Product Management,471,145857.46230360935,142500.0
Legal,960,134769.20205729167,120000.0
Strategy/Planning,468,131787.36873931624,122000.0
Engineering,3727,126422.67224979878,120000.0
Consulting,784,122602.20522959184,115000.0
Project Management,1430,118760.898993007,114400.0
Information Technology,7090,116457.44687023977,112500.0
Science,363,115131.42782369145,93600.0
Research,921,110826.56832790446,93600.0
Finance,2906,103569.5650154852,92500.0
Marketing,1630,103516.3629601227,87308.0
Advertising,231,103472.56796536797,95000.0
Analyst,1242,102825.67335748792,94104.4
Design,755,101196.58306622517,92500.0
Accounting/Auditing,2272,98810.57990977113,87500.0
Health Care Provider,3713,97910.65452060329,86216.0
Human Resources,934,97258.83208244112,86840.0
Supply Chain,386,95809.96865284974,90000.0
Purchasing,198,95136.66767676767,88750.0
Quality Assurance,542,94961.87379151292,87430.0
Art/Creative,500,94421.23462999999,81000.0
General Business,553,94185.95757685353,75000.0
Business Development,3359,94170.17903691574,77000.0
Public Relations,373,93895.67733243969,74500.0
Writing/Editing,420,91710.69701190476,77500.0
Sales,5599,91498.83486158242,75000.0
Production,282,79894.97446808511,69840.0
Other,3352,76276.2655265513,59433.0
Management,5445,75269.81139944904,59500.0
Distribution,133,74511.43082706767,60320.0
Administrative,1874,71523.94635805763,59280.0
Education,564,70358.88653368795,65000.0
Training,549,69830.83721311476,60500.0
Manufacturing,4611,68335.94698763825,55120.0
Customer Service,1139,62168.37350746268,50190.4
