title,jobs_count,avg_salary,median_salary
Psychiatrist,7,343512.9285714286,354897.0
Patent Attorney,7,284642.85714285716,200000.0
Medical Director,6,250000.0,225000.0
Labor And Employment Attorney,9,247588.88888888888,230000.0
Chief Financial Officer,19,247500.0,250000.0
Family Physician,8,233250.0,220000.0
Relief Veterinarian,6,227413.33333333334,268320.0
Vice President Finance,8,225937.5,225000.0
Staff Software Engineer,7,218768.92857142858,210550.0
Chief Executive Officer,6,218037.66666666666,155000.0
Primary Care Physician,10,213750.0,225000.0
Head of Sales,10,211900.0,218750.0
Tax Director,5,211000.0,212500.0
Real Estate Attorney,5,196500.0,165000.0
Chief Operating Officer,9,193851.66666666666,200000.0
Deviation Investigator,5,192192.0,197600.0
"Principal, Technology Strategy",5,192000.0,190000.0
Senior Application Security Engineer,5,188940.0,199680.0
Remote Licensed Mental Health Counselor,11,188334.54545454544,187200.0
Principal Software Engineer,10,186195.0,199825.0
