title,skill_name,jobs_count,rank
![,Other,1,1.0
"""A"" Electrician - 3rd Shift (Monday - Friday) (Starting pay $33.72/hour)",Management,1,1.0
"""A"" Electrician - 3rd Shift (Monday - Friday) (Starting pay $33.72/hour)",Manufacturing,1,2.0
"""Senior Integration Engineer - IBM ACE/IIB Administrator/Developer""",Information Technology,1,1.0
"""Students in Cyber Security"" National Research Study",Information Technology,1,1.0
"""Students in Cyber Security"" Undergrad Interns",Information Technology,1,1.0
# Residential Direct Support Associate,Other,1,1.0
"# Selling and Support Captain, Southdale Center - Full Time",Business Development,1,1.0
"# Selling and Support Captain, Southdale Center - Full Time",Sales,1,2.0
#13437 - Technical Salesforce Architect,Information Technology,1,1.0
#13476 Manual Tester,Engineering,1,1.0
#13476 Manual Tester,Information Technology,1,2.0
#13548 - Tosca Automation Engineer,Engineering,1,1.0
#13548 - Tosca Automation Engineer,Information Technology,1,2.0
#13635 - Salesforce Manual Tester,Engineering,1,1.0
#13635 - Salesforce Manual Tester,Information Technology,1,2.0
#13644 - Data Collection Associate,Accounting/Auditing,1,1.0
#13644 - Data Collection Associate,Finance,1,2.0
"#227 Staff Pharmacist - $10,000 Sign-on Bonus",Health Care Provider,1,1.0
$$$ HIGH PAY CORRECTIONS LPNs $$$,Health Care Provider,1,1.0
"$$CNAs Needed in Alexandria, VA$$",Other,1,1.0
"$1,733 Housing Provided - LPN Skilled/LTC",Health Care Provider,1,1.0
$10k Sign -On-EXECUTIVE CHEF ( PROVIDENCE ST JOHNS HOSP) SANTA MONICA CA,Management,1,1.0
$10k Sign -On-EXECUTIVE CHEF ( PROVIDENCE ST JOHNS HOSP) SANTA MONICA CA,Manufacturing,1,2.0
$15.75/hour - Housekeeper/Room Attendant,Management,1,1.0
$15.75/hour - Housekeeper/Room Attendant,Manufacturing,1,2.0
$1500 Sign on Bonus Licensed Veterinary Technician,Health Care Provider,1,1.0
$170k-$210k – IAM Engineer,Information Technology,1,1.0
"$21.20 Carroll, IA - 1st Shift Production",Management,1,1.0
"$21.20 Carroll, IA - 1st Shift Production",Manufacturing,1,2.0
$22 Per Hour,Other,1,1.0
$26 oer hour - CNA - 12 Hour Shifts,Health Care Provider,1,1.0
$27/hour | CNA Contract!!! | Nebraska | Travel Pay!!,Health Care Provider,1,1.0
$46 / hr | Registered Dietitian,Other,1,1.0
$500 Sign on Bonus Financial Aid Advisor,Education,1,1.0
$500 Sign on Bonus Financial Aid Advisor,Training,1,2.0
$5000 Sign-on Bonus - Fleet Diesel Technician,Management,1,1.0
$5000 Sign-on Bonus - Fleet Diesel Technician,Manufacturing,1,2.0
$54 / hour - Home Health MSW,Health Care Provider,1,1.0
"$55/HR - Registered Nurse in KC, KS!",Health Care Provider,1,1.0
( REMOTE) Care Engagement Specialist 2,Other,1,1.0
(Boston) - Sales Executive - Life Science Reagents and Services,Business Development,1,1.0
(Boston) - Sales Executive - Life Science Reagents and Services,Sales,1,2.0
(C) Production Operator 3rd shift $16/hour + $2/hour differential,Management,1,1.0
(C) Production Operator 3rd shift $16/hour + $2/hour differential,Manufacturing,1,2.0
(CLS) Clinical Laboratory Scientist - Competitive pay + Large sign on/relocation bonus,Analyst,1,1.0
(CLS) Clinical Laboratory Scientist - Competitive pay + Large sign on/relocation bonus,Information Technology,1,2.0
(CLS) Clinical Laboratory Scientist - Competitive pay + Large sign on/relocation bonus,Research,1,3.0
(CLS) Clinical Laboratory Scientist - Micro - 10K sign on + Up to $75/hr,Analyst,2,1.0
(CLS) Clinical Laboratory Scientist - Micro - 10K sign on + Up to $75/hr,Information Technology,2,2.0
(CLS) Clinical Laboratory Scientist - Micro - 10K sign on + Up to $75/hr,Research,2,3.0
(CNA) Certified Nursing Assistant,Health Care Provider,3,1.0
(CSSNA) Project Manager - Service,Information Technology,1,1.0
(CSSNA) Project Manager - Service,Project Management,1,2.0
(CSSNA) Project Manager - Service #: 24-02679,Information Technology,1,1.0
(CSSNA) Project Manager - Service #: 24-02679,Project Management,1,2.0
(CSSNA) Project Manager - Service #: 24-02680,Information Technology,1,1.0
(CSSNA) Project Manager - Service #: 24-02680,Project Management,1,2.0
(Contract) Campaign Operations Manager - Theatrical,Advertising,1,1.0
(Contract) Campaign Operations Manager - Theatrical,Marketing,1,2.0
(Contract) Theatrical Marketing Manager,Advertising,1,1.0
(Contract) Theatrical Marketing Manager,Marketing,1,2.0
(Entry Level) Sales Executive,Business Development,2,1.0
(Entry Level) Sales Executive,Finance,2,2.0
(Entry Level) Sales Executive,Sales,2,3.0
(Entry Level) Sales Representative,Business Development,1,1.0
(Entry Level) Sales Representative,Finance,1,2.0
(Entry Level) Sales Representative,Sales,1,3.0
"(Executive) Director, Mega Fund Infrastructure Credit",Finance,1,1.0
(F/T) Registered Nurse 1 - UMMG/Community Health,Other,1,1.0
(GCCS-J) System Administrator,Engineering,1,1.0
(GCCS-J) System Administrator,Information Technology,1,2.0
(Greater San Diego) - Sales Executive - Life Science Reagents and Services,Business Development,1,1.0
(Greater San Diego) - Sales Executive - Life Science Reagents and Services,Sales,1,2.0
(Hybrid) Quantitative Risk Analyst II,Finance,1,1.0
(Hybrid) Quantitative Risk Analyst II,Sales,1,2.0
(Hybrid) Sr/Lead/Principal Civil Engineer - Water/Wastewater,Design,1,1.0
(Junior) Program-Manager im Microsoft Cloud Umfeld (m/w/d),Information Technology,1,1.0
(Junior) Program-Manager im Microsoft Cloud Umfeld (m/w/d),Project Management,1,2.0
(LPN) Licensed Practical Nurse,Health Care Provider,4,1.0
(MA) Licensed Professional Counselor/Licensed Mental Health Counselor (Contract),Health Care Provider,1,1.0
(MBSE) Model Based Systems Engineer,Business Development,1,1.0
(MBSE) Model Based Systems Engineer,General Business,1,2.0
(MBSE) Model Based Systems Engineer,Management,1,3.0
(MTA) CAD Drafter,Design,1,1.0
(NY) Licensed Marriage and Family Therapist (Contract),Health Care Provider,1,1.0
(Northeast) Remote P&C Assistant Actuary - PR12744A,Analyst,1,1.0
(Northeast) Remote opening for P&C Actuarial Director. - PR12743A,Other,1,1.0
(OK) Licensed Professional Counselor/Licensed Mental Health Counselor (Contract),Health Care Provider,1,1.0
(OR) Licensed Marriage and Family Therapist (Contract),Health Care Provider,1,1.0
(Onsite) Retail Banker,Finance,1,1.0
(Onsite) Retail Banker,Sales,1,2.0
(Part Time) Production Team Partner - Soiled Linen Sorter - UniFirst,Manufacturing,1,1.0
(Part Time) Production Team Partner - Soiled Linen Sorter - UniFirst,Other,1,2.0
(Part Time) Production Team Partner - Soiled Linen Sorter - UniFirst,Production,1,3.0
(Part-Time Contract) Social Media Community Manager,Art/Creative,1,1.0
(Part-Time Contract) Social Media Community Manager,Marketing,1,2.0
(Part-Time Contract) Social Media Community Manager,Public Relations,1,3.0
(Part-Time) Accounts Receivable Collector - UniFirst First Aid + Safety,Administrative,1,1.0
(Part-Time) Accounts Receivable Collector - UniFirst First Aid + Safety,General Business,1,2.0
(Part-Time) Accounts Receivable Collector - UniFirst First Aid + Safety,Other,1,3.0
(REMOTE ) Care Engagement Specialist,Health Care Provider,1,1.0
(REMOTE) HR Specialist (Contingent),Administrative,1,1.0
(RN) Clinical Case Manager,Health Care Provider,1,1.0
(RN) MDS Coordinator,Health Care Provider,1,1.0
(RN) Registered Nurse,Health Care Provider,3,1.0
(Rate: $50/hr)(Onsite) PHP Full-Stack Developer - Tallahassee FL,Information Technology,1,1.0
(Remote) Inside Sales Representative (Uncapped Commission + Base Pay & No Cold Calling),Sales,1,1.0
(Remote) QA Manager,Quality Assurance,1,1.0
(Remote) Strategic and NAGA Customer Support Specialist,Design,1,1.0
(Remote) Strategic and NAGA Customer Support Specialist,Marketing,1,2.0
(Remote) Strategic and NAGA Customer Support Specialist,Product Management,1,3.0
(SAP) IT Business Systems Manager,Information Technology,1,1.0
(Seattle) - Sales Executive - Life Science Reagents and Services,Business Development,1,1.0
(Seattle) - Sales Executive - Life Science Reagents and Services,Sales,1,2.0
"(Senior) Bioinformatician, Antibody Engineering",Research,1,1.0
"(Senior) Bioinformatician, Antibody Engineering",Science,1,2.0
"(Senior) Bioinformatics Data Engineer, Translational and Quantitative Sciences Data Engineering",Information Technology,1,1.0
(Senior) Consultant (f/m/d) –Microsoft Dynamics 365 CE,Information Technology,1,1.0
"(Senior) Director, Drug Discovery (Fungal Biology)",Other,1,1.0
(Senior) Relationship Manager,Business Development,1,1.0
