job_id,title,company_name,location,views,applies,salary_value,salary_level,work_type_final,remote_status
3757672875,Care Coordinator,Somnea Health,United States,2337,967,52000.0,Low,Contract,Remote
3900961490,Administrative Specialist - Remote,Archer,United States,2413,729,47500.0,Low,Full-time,Remote
3900070788,UI/UX Designer,Sparkle Dryclean,"California, United States",1197,625,,Unknown,Full-time,Remote
3901349539,Senior Data Engineer,ChabezTech LLC,"Georgia, United States",959,566,,Unknown,Contract,Not Remote
3884444067,Sr Professional Recruiter (Remote) - RPO Consultant,ManpowerGroup,United States,1130,530,145600.0,High,Contract,Remote
3902922986,Associate Software Engineer,Run A Better Set (RABS),United States,1156,508,,Unknown,Full-time,Remote
3898160925,SQL Developer,Equity Staffing Group,United States,900,493,112320.0,High,Contract,Remote
3902739959,Social Media Manager,Tarte Cosmetics,"New York, NY",4378,472,90000.0,Medium,Full-time,Not Remote
3902939062,Data Engineer,"Gardner Resources Consulting, LLC","Boston, MA",830,470,,Unknown,Contract,Remote
3901651266,Full Stack Engineer,Dealers United,United States,991,465,102500.0,Medium,Full-time,Remote
3901630889,QA Automation Engineer,Compunnel Inc.,"Westbrook, ME",857,436,113360.0,High,Contract,Remote
3901699523,Java developer,Quantum World Technologies Inc.,United States,827,430,,Unknown,Contract,Remote
3901696949,Help Desk Specialist,The Select Group,United States,1616,429,,Unknown,Contract,Remote
3903446543,Java Backend Developer,mroads,"Bethesda, MD",1083,424,,Unknown,Contract,Remote
3885115131,SOC Analyst Internship,"360 SOC, Inc.",United States,1267,417,,Unknown,Internship,Remote
3900966255,Talent Acquisition Specialist,Nexus Talent Connect,United States,1378,407,200000.0,High,Full-time,Remote
3904952655,Frontend Engineer,Gaze,United States,935,406,,Unknown,Other,Remote
3898173769,Senior Scrum Master (REMOTE),DICK'S Sporting Goods,United States,1264,398,127000.0,High,Full-time,Remote
3902762223,Email Marketing Specialist,The Cake,United States,1647,394,75920.0,Medium,Contract,Remote
3901374467,Software Engineer,Insight Global,United States,903,389,185120.0,High,Contract,Remote
