job_id,title,company_name,location,views,applies,salary_value,salary_level,work_type_final,remote_status
3904407770,Senior Business Operations Manager,Zillow,United States,9975,156,141000.0,High,Full-time,Remote
3887877451,Executive Administrative Assistant,NBCUniversal,"New York, NY",9949,19,65000.0,Medium,Full-time,Not Remote
2838336689,Executive Assistant,Athos Private Wealth,"Holladay, UT",8062,43,,Unknown,Full-time,Not Remote
3904394441,Executive Assistant,Cardone Ventures,"Scottsdale, AZ",6105,11,82500.0,Medium,Full-time,Not Remote
3904410961,Customer Success Manager,Prelude,"Austin, TX",5518,15,,Unknown,Full-time,Not Remote
3904400638,Supply Chain Analyst,Backblaze,United States,5132,90,,Unknown,Full-time,Remote
3904392733,Executive Assistant CPO,RMI,United States,4951,95,78000.0,Medium,Part-time,Remote
3904390080,"VP, Health Plan Account Management",Calm,United States,4807,215,337500.0,High,Full-time,Remote
3885864982,Customer Operations - Talent Community,PointClickCare,United States,4753,3,,Unknown,Full-time,Remote
3902739959,Social Media Manager,Tarte Cosmetics,"New York, NY",4378,472,90000.0,Medium,Full-time,Not Remote
3902741610,Junior Account Executive,Dôen,Los Angeles Metropolitan Area,4223,38,80000.0,Medium,Full-time,Not Remote
3888937908,Executive Assistant,Phoenix Suns,"Phoenix, AZ",4043,12,,Unknown,Full-time,Not Remote
3888947154,Chief Operating Officer,TradeLink Solutions Company,"Chicago, IL",3798,5,200000.0,High,Full-time,Not Remote
3889132611,Graphic Designer,fpSOLUTIONS CEO,"Santa Monica, CA",3538,39,90000.0,Medium,Full-time,Not Remote
3889711778,Customer Success Associate,Propel,United States,3466,263,50000.0,Low,Full-time,Remote
3904393421,SVP - Corporate Marketing,Berkadia,"Ambler, PA",2968,18,,Unknown,Full-time,Not Remote
3904367469,Acquisitions Associate – Multifamily (Semi-Remote),Advice Personnel,"New York, NY",2814,35,142500.0,High,Full-time,Not Remote
3904937069,Editorial Assistant,Digitive,United States,2687,195,,Unknown,Contract,Remote
3902945534,"Coordinator, Print & Editorial Content",Los Angeles Dodgers,"Los Angeles, CA",2636,24,47840.0,Low,Part-time,Not Remote
3867756254,Account Manager,Burton Energy Group,"Alpharetta, GA",2490,27,,Unknown,Full-time,Not Remote
